row,chars,conf
64,"Shazam, Black Adam",🟢
65,Green Arrow,🟢
66,"Vision, Scarlet Witch, Quicksilver, Wonder Man",🟢
67,Captain America,🟢
68,Lando Calrissian,🟢
69,"Firestar, Marvel Boy, Night Thrasher, Speedball, Kid Nova",🟢
70,"Spider-Man, The Thing, Doctor Doom, Wolverine, Iron Man, Magneto",🟢
71,"Doctor Doom, Kang the Conqueror",🟢
72,Mockingbird,🟢
73,"She-Hulk, Cyclops, Psylocke, Wolverine, Angel",🟢
74,"Black Panther, Daredevil",🟢
75,"The Hulk, Bruce Banner",🟢
76,"Huntress, Power Girl",🟢
77,Daredevil,🟢
78,"Captain America, Iron Man, Black Panther",🟢
79,Hulk,🟢
80,"Invisible Woman, The Thing, Human Torch, Mr. Fantastic",🟢
81,"Doctor Doom, Thor, Black Panther, Captain America, Iron Man, Doctor Strange, Scarlet Witch, Vision",🟢
82,"Rogue, Storm",🟢
83,"Batman, Robin",🟢
84,"Batman, The Joker",🟢
85,"Batman, Minotaur",🟢
86,"Batman, Poison Ivy",🟢
87,"Batman, Batgirl, Nightwing",🟢
88,Wonder Woman,🟢
89,"Superman, Booster Gold, Darkseid",🟢
90,Superman,🟢
91,"Superman, Lex Luthor",🟢
92,"Hal Jordan, Kyle Rayner, John Stewart, Guy Gardner, Kilowog, Sinestro, Arisia",🟢
93,"Green Arrow, Speedy, Red Arrow, Arsenal",🟢
94,Black Panther,🟢
95,"Sentry, Ares, Wonder Man, Luke Cage, Iron Fist, Hulk, Black Widow, Ms. Marvel, Hawkeye",🟢
96,"Superman, Captain Atom",🟢
97,"Wolverine, Magneto, Psylocke, Storm, Nightcrawler",🟢
98,"Thor, Captain America, Iron Man",🟢
99,Wonder Woman,🟢
100,"Wonder Woman, Batman",🟢
101,Wonder Woman,🟢
102,Wonder Woman,🟢
103,"Scarlet Witch, Loki, Magik",🟢
104,Storm,🟢
105,"Storm, Colossus, Nightcrawler, Professor X, Marvel Girl, Cyclops, Angel",🟢
106,"Cloak, Dagger",🟢
107,"Green Lantern, Kilowog",🟢
108,"Hal Jordan, John Stewart, Guy Gardner, Kilowog",🟢
109,"Supergirl, Superman, Superboy",🟢
110,"Cyborg, Atlas",🟢
111,"Captain Marvel, Yon-Rogg",🟢
112,Wolverine,🟢
113,"Psylocke, Deadpool",🟢
114,"Phoenix, Colossus",🟢
115,The Punisher,🟢
116,Moon Knight,🟢
117,Unknown,🔴
118,"Rogue, Magneto",🟢
119,"Mister Fantastic, The Thing, Invisible Woman, Human Torch",🟢
120,Black Canary,🟢
121,"Black Cat, Harley Quinn",🟢
122,Nekron,🟢
123,"Optimus Prime, Bumblebee",🟢
124,Arcee,🟢
125,"Fantasti Four, Thing, Mr. Fantastic, Invisible Woman, Human Torch",🟢
126,"Invisible Woman, Mr. Fantastic, The Thing",🟢
127,"Mister Fantastic, The Thing, Invisible Woman, Human Torch",🟢
128,Human Torch,🟢
129,"Human Torch, The Thing, Invisible Woman, Mr. Fantastic",🟢
130,"Invisible Woman, The Thing, Human Torch, Mr. Fantastic",🟢
131,"Moon Knight, Bloodhunt",🟢
132,"Iron Man, Pepper Potts",🟢
133,Captain America,🟢
134,"Superman, Spider-Man",🟢
135,Batman,🟢
136,"Batman, Catwoman",🟢
137,"Batman, Joker",🟢
138,Batman,🟢
139,Batman,🟢
140,Batman,🟢
141,Batman,🟢
142,"Batman, Mr. Freeze",🟢
143,"The Flash, Captain Cold",🟢
144,The Flash,🟢
145,"The Flash, Captain Cold",🟢
146,"The Flash, Captain Cold, Weather Wizard, Mirror Master",🟢
147,The Flash,🟢
148,The Flash,🟢
149,The Flash,🟢
150,"The Flash, Green Lantern",🟢
151,The Flash,🟢
152,The Flash,🟢
153,"The Flash, Flash",🟢
154,The Flash,🟢
155,"The Flash, Kid Flash",🟢
156,"The Flash, Professor Zoom",🟢
157,The Flash,🟢
158,"The Flash, Captain Cold",🟢
159,"The Flash, Gorilla Grodd",🟢
160,The Flash,🟢
161,The Flash,🟢
162,The Flash,🟢
163,"The Flash, Green Lantern",🟢
164,The Flash,🟢
165,Flash Gordon,🟢
166,"The Flash, Iris West, Wally West",🟢
167,The Flash,🟢
168,"Batman, Plastic Man",🟢
169,"The Flash, Firestorm, Captain Cold, Heat Wave",🟢
170,"The Flash, Replicant",🟢
171,"The Flash, Captain Cold, Harley Quinn",🟢
172,"The Flash, Superman",🟢
173,"The Flash, The Flash",🟢
174,"The Flash, Black Canary",🟢
175,"The Flash, Wally West, Iris West",🟢
176,"The Flash, Wonder Woman, Green Lantern, Hawkgirl, Martian Manhunter",🟢
177,"The Flash, Shazam",🟢
178,"The Flash, Superman, Batman, Green Lantern, Hawkgirl",🟢
179,"The Flash, Captain Cold, Weather Wizard",🟢
180,Unknown,🔴
181,"The Flash, Captain Cold, Plunder",🟢
182,"The Flash, Green Lantern, Captain Cold",🟢
183,"The Flash, Green Arrow",🟢
184,"The Flash, Wonder Woman",🟢
185,"The Flash, Magenta",🟢
186,The Flash,🟢
187,"The Flash, Lex Luthor, Magenta",🟢
188,"The Flash, Cicada",🟢
189,"The Flash, Gorilla Grodd",🟢
190,"The Flash, Weather Wizard",🟢
191,"The Flash, Green Lantern",🟢
192,The Flash,🟢
193,"The Flash, Grodd",🟢
194,"The Flash, Joker",🟢
195,"The Flash, Black Tarantula",🟢
196,"The Flash, Kid Flash",🟢
197,"The Flash, Captain Cold",🟢
198,"The Flash, Trickster",🟢
199,"The Flash, Green Arrow, Green Lantern, Aquaman, Hawkman, Red Arrow, Elongated Man",🟢
200,"The Flash, The Thinker",🟢
201,"The Flash, Captain Cold, Weather Wizard, Mirror Master, Heat Wave, Golden Glider",🟢
202,"The Flash, Captain Cold",🟢
203,"The Flash, Darkseid",🟢
204,The Flash,🟢
205,The Flash,🟢
206,"The Flash, Hawkman, Grundy",🟢
207,"The Flash, Grodd",🟢
208,"The Flash, Grodd",🟢
209,"The Flash, Gorilla Grodd",🟢
210,The Flash,🟢
211,"The Flash, Captain Cold",🟢
212,"The Flash, Zoom",🟢
213,"The Flash, Zoom",🟢
214,"The Flash, Professor Zoom",🟢
215,The Flash,🟢
216,The Flash,🟢
217,The Flash,🟢
218,The Flash,🟢
219,"The Flash, Gold-Blooded Killer",🟢
220,"The Flash, Batman",🟢
221,"The Flash, Captain Cold",🟢
222,The Flash,🟢
223,"The Flash, Captain Cold, Heat Wave, Golden Glider",🟢
224,"Superman, The Flash, Green Lantern",🟢
225,"The Flash, Reverse-Flash",🟢
226,The Flash,🟢
227,"Flash, Green Lantern",🟢
228,"The Flash, Captain Cold",🟢
229,"The Flash, Professor Zoom",🟢
230,"The Flash, Green Arrow, Green Lantern",🟢
231,"The Flash, Captain Planet",🟢
232,"The Flash, Green Lantern, Hawkgirl, Green Arrow, Black Canary, Aquaman",🟢
233,"The Flash, Heat Wave",🟢
234,"The Flash, Cheetah, Wonder Woman, Doctor Doom",🟢
235,Unknown,🔴
236,"The Flash, Captain Cold, Rogue",🟢
237,"The Flash, Captain Planet, Wonder Woman, Batman, Superman",🟢
238,"The Flash, Captain Cold",🟢
239,"The Flash, Reverse-Flash",🟢
240,"The Flash, Rogues Gallery",🟢
241,The Flash,🟢
242,"The Flash, Green Lantern, Hawkman, Wonder Woman, Batman, Aquaman",🟢
243,"Superman, Green Lantern, Martian Manhunter",🟢
244,"The Flash, Wonder Woman, Green Lantern, Aquaman, Batman",🟢
245,"Green Lantern, Flash, Aquaman, Wonder Woman, Superman, Batman",🟢
246,"Superman, Spectre",🟢
247,"Superman, Batman",🟢
248,"The Flash, Wonder Woman, Green Lantern, Aquaman, Superman",🟢
249,"Green Lantern, Green Arrow, Black Canary, Hawkman",🟢
250,"Wonder Woman, Superman, Batman",🟢
251,"Superman, Batman, Wonder Woman",🟢
252,"Superman, Wonder Woman, Batman, The Flash, Green Lantern, Hawkman, Aquaman, Martian Manhunter",🟢
253,"Superman, Wonder Woman, The Flash",🟢
254,"The Flash, Batman, Superman, Wonder Woman, Green Lantern, Hawkman",🟢
255,"Batman, The Flash, Superman, Wonder Woman, Green Lantern, Hawkgirl",🟢
256,"The Flash, Wonder Woman, Superman",🟢
257,"Wonder Woman, Batman, Green Lantern, The Flash",🟢
258,"Wonder Woman, Batman, Green Lantern, Hawkgirl, The Flash, Martian Manhunter, Aquaman",🟢
259,"Wonder Woman, Cheshire",🟢
260,"Superman, Wonder Woman, The Flash, Hawkman, Beast Boy",🟢
261,"The Flash, Wonder Woman, Green Lantern, Hawkgirl, Martian Manhunter, Batman",🟢
262,"Superman, Batman, Wonder Woman, The Flash, Green Lantern, Hawkgirl, Martian Manhunter",🟢
263,"Superman, Wonder Woman, The Flash, Green Lantern, Hawkgirl, Martian Manhunter",🟢
264,"The Flash, Superman, Wonder Woman",🟢
265,"Darkseid, Lex Luthor, Brainiac",🟢
266,"Wonder Woman, The Flash, Superman",🟢
267,"The Flash, Wonder Woman, Green Lantern, Hawkgirl",🟢
268,"The Flash, Superman, The Punisher",🟢
269,"Superman, The Flash, Green Lantern, Hawkgirl, Martian Manhunter, Wonder Woman",🟢
270,"Joker, Batman, Justice League of America",🟢
271,"Superman, Wonder Woman, Green Lantern, Hawkman, Martian Manhunter, Batman",🟢
272,"Superman, Batman, Wonder Woman, The Flash, Green Lantern, Hawkman",🟢
273,Wonder Woman,🟢
274,"Wonder Woman, Superman, Batman, Green Lantern, The Flash, Hawkgirl",🟢
275,"Wonder Woman, Superman, Batman, The Flash, Green Lantern",🟢
276,"Batman, Scarecrow",🟢
277,"Superman, Wonder Woman, Batman, Hawkgirl",🟢
278,Martian Manhunter,🟢
279,"Aquaman, Ocean Master, Black Manta, Orm Marius",🟢
280,"Superman, Batman, Wonder Woman, The Flash, Green Lantern, Hawkman",🟢
281,"Aquaman, Black Manta",🟢
282,"The Flash, Green Arrow, Hawkwoman, Atom",🟢
283,"Wonder Woman, Superman",🟢
284,"Superman, Wonder Woman, The Flash, Hawkgirl",🟢
285,"Superman, Wonder Woman, Hawkgirl, Green Lantern, Martian Manhunter",🟢
286,"Wonder Woman, Superman, Batman",🟢
287,"Wonder Woman, Batman, Superman",🟢
288,"Superman, Wonder Woman, Batman, The Flash, Green Lantern, Hawkman, Aquaman",🟢
289,"Superman, Captain Cold",🟢
290,"Superman, Wonder Woman, Batman",🟢
291,Unknown,🔴
292,Superman,🟢
293,"Superman, Batman, The Flash, Wonder Woman",🟢
294,"Superman, Batman, Wonder Woman, The Flash, Green Lantern, Aquaman, Martian Manhunter, Hawkgirl",🟢
295,"Superman, Wonder Woman, Flash",🟢
296,"Superman, Batman, Wonder Woman, The Flash, Green Lantern, Hawkgirl, Martian Manhunter",🟢
297,"Superman, Martian Manhunter, Green Lantern, John Jones",🟢
298,"The Flash, Red Tornado",🟢
299,"Batman, Wonder Woman",🟢
300,"Superman, The Flash, Wonder Woman",🟢
301,"Green Lantern, The Flash, Wonder Woman, Superman",🟢
302,"Superman, Batman, Wonder Woman, The Flash, Green Lantern, Hawkgirl, Martian Manhunter",🟢
303,"Superman, Wonder Woman",🟢
304,"Superman, Green Lantern, Batman, Swamp Thing",🟢
305,"Superman, Wonder Woman",🟢
306,"Batman, Zatanna, The Flash, Lex Luthor, Martian Manhunter",🟢
307,"Batman, Superman, Wonder Woman, The Flash, Green Lantern, Hawkman, Martian Manhunter",🟢
308,"Superman, Green Lantern, The Flash, Wonder Woman, Aquaman, Batman",🟢
309,"Superman, Wonder Woman, Martian Manhunter, The Flash, Green Lantern, Hawkgirl, Black Canary",🟢
310,"Superman, Wonder Woman, Batman, The Flash, Green Lantern, Hawkman",🟢
311,The Flash,🟢
312,"Flash, Superman, Martian Manhunter, Green Lantern, Hawkgirl, Green Arrow",🟢
313,Manhunter,🟢
314,"Wonder Woman, Justice League of America",🟢
315,Batman,🟢
316,"Batman, Superman, Wonder Woman",🟢
317,"Superman, Batman, Wonder Woman, Lex Luthor",🟢
318,"Superman, Blue Beetle, Black Lightning, Green Lantern, Hawkgirl, Wonder Woman, Flash",🟢
319,Harley Quinn,🟢
320,"Joker, Batman",🟢
321,"The Flash, Hawkman, Green Lantern, Black Canary",🟢
322,"Superman, Green Lantern, Batman",🟢
323,"Green Lantern, Superman, Wonder Woman, The Flash, Hawkgirl, Lex Luthor",🟢
324,"Superman, Batman, Wonder Woman, The Flash, Green Lantern, Hawkgirl, Martian Manhunter",🟢
325,"Superman, Batman, Wonder Woman, The Flash, Green Lantern, Hawkgirl",🟢
326,"Superman, Wonder Woman, Green Lantern, The Flash, Hawkgirl, Martian Manhunter, Batman",🟢
327,Batman,🟢
328,"Superman, The Flash, Green Lantern, Batman, Wonder Woman, Hawkgirl",🟢
329,"Superman, Wonder Woman, Green Lantern, Hawkman, Martian Manhunter, The Flash",🟢
330,"Superman, Wonder Woman, Batman, The Flash, Green Lantern, Hawkman, Aquaman, Martian Manhunter",🟢
331,"Superman, The Flash, Green Lantern, Hawkgirl",🟢
332,"Superman, Wonder Woman, Batman, The Flash, Green Lantern, Hawkgirl, Martian Manhunter, Green Arrow",🟢
333,"Batman, Superman, Wonder Woman, The Flash, Green Lantern, Hawkman, Martian Manhunter",🟢
334,"Batman, Superman",🟢
335,"Superman, Wonder Woman, Batman, The Flash, Green Lantern, Hawkgirl, Martian Manhunter",🟢
336,Wonder Woman,🟢
337,"Wonder Woman, Etrigan, The Flash, Green Lantern",🟢
338,"Superman, The Flash, Green Lantern, Hawkgirl, Green Arrow",🟢
339,Hawkgirl,🟢
340,"Supergirl, Darkseid",🟢
341,"Wonder Woman, The Flash, Green Lantern, Hawkgirl",🟢
342,"Superman, Batman, Wonder Woman, Green Lantern, The Flash, Hawkgirl",🟢
343,"Green Arrow, Black Canary",🟢
344,"Batman, Nightwing, Red Robin, Red Hood, Black Mask",🟢
345,Batman,🟢
346,Batman,🟢
347,"Batman, The Joker",🟢
348,Batman,🟢
349,Batman,🟢
350,Batman,🟢
351,Batman,🟢
352,Batman,🟢
353,Batman,🟢
354,Batman,🟢
355,Batman,🟢
356,Batman,🟢
357,Batman,🟢
358,"Batman, The Riddler",🟢
359,"Batman, Hellbat, Flash, Robin, Batgirl",🟢
360,"Batman, Nightwing, Mr. Freeze",🟢
361,"Batman, Robin",🟢
362,"Batman, Robin",🟢
363,"Batman, Robin",🟢
364,"Batman, Robin",🟢
365,"Batman, Robin",🟢
366,"Batman, Robin, Red Hood, Spoiler",🟢
367,"Batman, Robin",🟢
368,"Batman, Robin, Deathstroke",🟢
369,"Batman, Robin",🟢
370,"Batman, Robin",🟢
371,Green Arrow,🟢
372,"Batman, Robin",🟢
373,"Batman, Robin",🟢
374,"Batman, Robin",🟢
375,"Batman, Red Robin",🟢
376,"Batman, Red Hood",🟢
377,"Batman, Batgirl",🟢
378,"Batman, Catwoman",🟢
379,"Batman, Nightwing",🟢
380,"Batman, Aquaman",🟢
381,"Batman, Wonder Woman",🟢
382,"Batman, Robin",🟢
383,"Batman, Robin, Lex Luthor",🟢
384,"Batman, Robin",🟢
385,"Batman, Robin, Batgirl",🟢
386,"Batman, Robin",🟢
387,"Robin, Batman",🟢
388,"Batman, Robin",🟢
389,"Batman, Robin, Superman, Wonder Woman, Green Lantern, The Flash, Aquaman",🟢
390,"Batman, Robin",🟢
391,"Batman, Robin",🟢
392,"Batman, Robin, Poison Ivy",🟢
393,"Batman, Robin",🟢
394,"Batman, Superman",🟢
395,"Batman, Superman",🟢
396,"Superman, Batman, Catwoman",🟢
397,"Superman, Green Lantern",🟢
398,"Superman, Batman",🟢
399,"Superman, Green Lantern, Hawkman",🟢
400,"Batman, Superman",🟢
401,"Batman, Superman",🟢
402,"Superman, Batman",🟢
403,"Batman, Superman",🟢
404,"Batman, Superman, Catwoman",🟢
405,"Batman, Superman",🟢
406,"Batman, Superman",🟢
407,"Batman, Superman",🟢
408,"Batman, Superman, Swamp Thing",🟢
409,"Batman, Superman, Joker, Lex Luthor, Poison Ivy, Scarecrow, Two-Face, Riddler, Penguin",🟢
410,"Batman, Superman",🟢
411,"Batman, Superman, Batgirl",🟢
412,"Superman, Supergirl, Wonder Woman, Lex Luthor, Batman",🟢
413,"Superman, Batman",🟢
414,"Batman, Robin, Nightwing, Batgirl, Red Robin",🟢
415,"Batman, Swamp Thing",🟢
416,Batman,🟢
417,Batman,🟢
418,"Supergirl, Power Girl",🟢
419,"Superman, Batman, Swamp Thing, Ghost Rider, Hulk",🟢
420,"Superman, Batman, Green Lantern",🟢
421,"Superman, Batman",🟢
422,"Superman, Batman",🟢
423,"Superman, Batman",🟢
424,Superman,🟢
425,"Superman, Doomsday",🟢
426,Superman,🟢
427,"Superman, Doomsday",🟢
428,Superman,🟢
429,Superman,🟢
430,"Superman, Wonder Woman",🟢
431,"Superman, Doomsday",🟢
432,Superman,🟢
433,"Superman, Wonder Woman",🟢
434,"Superman, Wonder Woman",🟢
435,"Superman, Wonder Woman",🟢
436,"Superman, Wonder Woman",🟢
437,"Superman, Wonder Woman",🟢
438,"Superman, Wonder Woman, Zod, Faora",🟢
439,"Superman, Wonder Woman",🟢
440,"Superman, Wonder Woman",🟢
441,"Superman, Wonder Woman",🟢
442,"Superman, Wonder Woman",🟢
443,"Superman, Wonder Woman",🟢
444,"Superman, Wonder Woman",🟢
445,"Superman, Wonder Woman",🟢
446,"Superman, Wonder Woman, Harley Quinn",🟢
447,"Superboy, Superman",🟢
448,"Superboy, Fairchild",🟢
449,"Superboy, Superman",🟢
450,"Superboy, Starfire",🟢
451,"Supergirl, Reign",🟢
452,Supergirl,🟢
453,"Supergirl, Worldkiller",🟢
454,"Supergirl, Silver Banshee",🟢
455,"Supergirl, Streaky",🟢
456,"Supergirl, Black Banshee",🟢
457,"Supergirl, Living Nanotech",🟢
458,Supergirl,🟢
459,"Supergirl, Tycho",🟢
460,"Supergirl, Superboy, Lobo",🟢
461,"Supergirl, Hellspawn",🟢
462,"Supergirl, The Flash",🟢
463,"Supergirl, Wonder Woman",🟢
464,Supergirl,🟢
465,"Supergirl, Lex Luthor",🟢
466,"Supergirl, Power Girl",🟢
467,Supergirl,🟢
468,"Supergirl, Red Lantern",🟢
469,"Supergirl, Lobo",🟢
470,"Superman, Lois Lane, Lex Luthor",🟢
471,"Superman, Lex Luthor",🟢
472,"Superman, Wonder Woman",🟢
473,Superman,🟢
474,Unknown,🔴
475,Superman,🟢
476,"Superman, Lex Luthor, Lana Lang",🟢
477,"Superman, Lex Luthor, Lois Lane",🟢
478,"Superman, Impulse",🟢
479,"Superman, Clark Kent",🟢
480,"Clark Kent/Superman, Lex Luthor",🟢
481,"Wonder Woman, Steve Trevor",🟢
482,Wonder Woman,🟢
483,"Batman, The Flash",🟢
484,"Batman, Deathstroke, Grifter, Zealot, Voodoo",🟢
485,"Batman, Red Hood",🟢
486,"Wonder Woman, Lasso of Truth",🟢
487,"Wonder Woman, Steve Trevor, Etta Candy",🟢
488,"Wonder Woman, Ares",🟢
489,"Wonder Woman, Steve Trevor",🟢
490,Wonder Woman,🟢
491,"Wonder Woman, Nemesis",🟢
492,"Wonder Woman, Giganta",🟢
493,Wonder Woman,🟢
494,"Wonder Woman, Girl Giant",🟢
495,"Diana Prince, Wonder Woman",🟢
496,Wonder Woman,🟢
497,"Wonder Woman, Nubia, Steve Trevor",🟢
498,"Wonder Woman, Diana Prince, Minotaur",🟢
499,"Wonder Woman, Batman, Superman, The Phantom Stranger",🟢
500,"Superman, Wonder Woman, Batman, The Flash, Green Lantern, Hawkgirl, Martian Manhunter",🟢
501,"Superman, Wonder Woman, Batman, The Flash, Green Lantern, Hawkgirl, Etrigan the Demon",🟢
502,"Swamp Thing, Wonder Woman",🟢
503,"Wonder Woman, The Flash, Mordru",🟢
504,"Mera, Batman, The Flash, Superman",🟢
505,Sam Wilson,🟢
506,"Captain America, Falcon, Crossbones, Baron Zemo, Hydra agents",🟢
507,"Sam Wilson, Steve Rogers",🟢
508,"Captain America, Red Skull",🟢
509,Sam Wilson/Captain America,🟢
510,"Captain America, Bucky Barnes, Black Widow",🟢
511,"Aquaman, Black Manta",🟢
512,"Aquaman, Black Manta",🟢
513,Aquaman,🟢
514,"Aquaman, Arthur Curry",🟢
515,Aquaman,🟢
516,Aquaman,🟢
517,"Aquaman, Mera, Jackson Hyde",🟢
518,Batman,🟢
519,"Wonder Woman, The Flash, Hawkgirl, Green Lantern, Aquaman",🟢
520,"Batman, Robin, Tim Drake",🟢
521,"Batman, Catwoman",🟢
522,"Batman, Two-Face",🟢
523,"Batman, Robin, Killer Croc",🟢
524,"Batman, Red Hood",🟢
525,"Superboy, Starfire, Robin, Aqualad, Kid Flash, Speedy, Bumblebee",🟢
526,"Wonder Girl, Green Lantern, Amethyst, Jinx",🟢
527,"Superboy, Robin, Impulse",🟢
528,"Aqualad, Speedy, Kid Flash, Robin, Aqualad, Lord Opal",🟢
529,"Robin, Kid Flash, Aqualad, Superboy, Wonder Girl, Speedy",🟢
530,"Superboy, Robin, Impulse, Wonder Girl, Aqualad, Speedy",🟢
531,"Superboy, Wonder Girl, Red Robin, Kid Flash, Speedy, Aqualad",🟢
532,"Batman, Katana, Black Mask, Deadshot, Creote",🟢
533,"Batman, Katana, Black Lightning",🟢
534,"Batman, Deathstroke, Katana, Red Hood, Bizarro",🟢
535,Unknown,🔴
536,"Shazam, Doctor Sivana, Mister Mind",🟢
537,Shazam,🟢
538,Naomi,🟢
539,Naomi,🟢
540,Naomi,🟢
541,Naomi,🟢
542,Naomi,🟢
543,"Naomi, The Flash, Black Canary, Green Arrow, Aquaman, Wonder Woman, Batman, Superman",🟢
544,"Batman, Joker",🟢
545,"Batman, Superman",🟢
546,"Batman, Green Lantern",🟢
547,"Wonder Woman, Superman",🟢
548,"Superman, Batman",🟢
549,"Batman, Superman, Wonder Woman",🟢
550,"The Flash, Green Arrow, Speedy, Hawkman, Hawkwoman, Black Canary",🟢
551,"The Joker, Harley Quinn, Robin",🟢
552,"The Flash, Batman",🟢
553,"Immortal Man, Bonnie Baxter, Clever Mentallist",🟢
554,"Grifter, Zealot, Deathblow, Spartan, Majesty, Backlash",🟢
555,"Cyborg, Beast Boy, Raven, Starfire, Robin, Red X",🟢
556,"Superman, Wonder Woman, Batman, Aquaman, The Flash, Green Lantern",🟢
557,Hawkman,🟢
558,Hawkman,🟢
559,Hawkman,🟢
560,"Hawkman, Hawkgirl",🟢
561,"Hawkman, Hawkwoman",🟢
562,Hawkman,🟢
563,The Joker,🟢
564,"Robin, Starfire, Raven, Beast Boy, Cyborg",🟢
565,Unknown,🔴
566,"Colonel Jack O'Neill, Samantha Carter, Daniel Jackson, Teal'c",🟢
567,Shazam,🟢
568,Shazam,🟢
569,"Shazam, Billy Batson",🟢
570,"Starfire, Raven, Cyborg, Nightwing, Flash",🟢
571,The Flash,🟢
572,The Flash,🟢
573,"The Flash, The Wall",🟢
574,Donna Troy,🟢
575,Beast Boy,🟢
576,"Aquaman, Black Manta",🟢
577,"The Flash, Captain Cold",🟢
578,"Wonder Woman, Cyborg, Beast Boy, Starfire, Raven",🟢
579,"Batman, Superman, Grayson",🟢
580,"Batman, Catwoman",🟢
581,"Batman, The Flash",🟢
582,"Batman, Harley Quinn, Poison Ivy",🟢
583,"Batman, The Riddler, The Joker, Catwoman",🟢
584,"Batman, Joker, Riddler, Penguin, Two-Face, Catwoman, Scarecrow",🟢
585,"Batman, Joker, Riddler",🟢
586,"Batman, Hellbat, The Flash, Robin, Batgirl",🟢
587,Batman,🟢
588,"Batman, Darkseid, Superman",🟢
589,"Batman, Catwoman",🟢
590,Batman,🟢
591,"Batman, Bruce Wayne",🟢
592,Batman,🟢
593,"Batman, Robin, Nightwing",🟢
594,Batman,🟢
595,"Batman, Superman, Robin, Wonder Woman, Bumblebee, Metamorpho, Black Lightning",🟢
596,"Batwoman, Creote, Knockout",🟢
597,"Nightwing, Starfire, Raven, Beast Boy, Cyborg",🟢
598,"Count Vertigo, Harley Quinn, Batwoman",🟢
599,"Harley Quinn, Green Arrow, Lobo",🟢
600,"Voodoo, Vampirella",🟢
601,"Batman, Catwoman, Man-Bat",🟢
602,"Batman, Vampires",🟢
603,Batwoman,🟢
604,"Batgirl, Batman",🟢
605,"Captain Atom, Blue Beetle, Booster Gold, Black Condor",🟢
606,Supergirl,🟢
607,"Monkey Prince, The Monkey King",🟢
608,"Monkey Prince, The Jade Emperor, The Monkey King",🟢
609,"Batman, Scarecrow",🟢
610,Unknown,🔴
611,"Batman, Robin, The Joker",🟢
612,"Superman, Batman, Wonder Woman, The Flash, Green Lantern, Aquaman, Hawkman, Starfire, Cyborg, Beast Boy",🟢
613,"Superman, Wonder Woman, Lois Lane",🟢
614,"Superman, Batman, Wonder Woman, Darkseid",🟢
615,"Superman, The Flash, Wonder Woman, Green Lantern, Aquaman",🟢
616,"Batman, Superman",🟢
617,"The Flash, Lois Lane, Superman",🟢
618,"Superman, Wonder Woman",🟢
