character,count
Isamot Kol,1
Indigo-1,1
"Sojourner ""Jo"" Mullein",1
Ekron,1
Green Lantern Corps members,1
Steve Rogers (Captain America),1
Mad Madame,1
Captain America (alternate costume),1
AIM Agents,1
Batroc,1
Jem,1
Skull,1
Raptor,1
Teen Titans,1
Agent 13,1
Blonde Woman,1
Young Captain America,1
Bloodstone,1
Widget,1
Wonderwoman,1
Shadowcat,1
Merlin,1
Excalibur (the team),1
Jamal Campbell,1
Ra,1
Swordsman,1
Terrific Man,1
Terrific Woman,1
The Terrific Three,1
Future Quest characters,1
Farooq Michael Tar-Em,1
Kimiyo,1
Nia Nal,1
Wash Hicks,1
Zoë Alleyne Washburne,1
Derrial Book,1
Sabra,1
Amelia Voght,1
Monet St. Croix,1
Hemlock,1
Synch,1
Wayward Son,1
Dark Wolverine,1
The Patient,1
Jo Mullein,1
Revenant Queen,1
The Shadow Thief,1
Woman,1
Woman Woman,1
Thanagarian Warrior,1
Lord Beyond the Void,1
Drawman,1
Norman Osborn/Green Goblin,1
Massacre,1
Thunder Fall,1
Dark Knight,1
Black Hawk,1
Mecha Supergirl,1
Queen of Blood,1
Chesire,1
The Red,1
Red Rage,1
Morpheus,1
Savage Hawkman,1
The Ray,1
Clock King,1
Stormwatch,1
Justice Society of America,1
Gail Simone,1
Ice Greens,1
Human Phoenix,1
Philippus,1
The Beast,1
Fireman,1
Nightfly,1
Green Hammer,1
Garrett,1
Princess Koriand'r,1
Superwoman,1
Super-Man,1
Crazy Jane,1
Hera,1
Aman,1
Dinah Drake,1
Revenant Zombies,1
Red Starfire,1
Monkie Kid,1
Demon Bull King,1
Tawny,1
Cyborg Superman,1
Bloodsport,1
Mongul,1
Aragorn,1
Boromir,1
Legolas,1
Gimli,1
Frodo Baggins,1
Samwise Gamgee,1
Gandalf,1
Lor Zod,1
Soulfire,1
Serenity,1
Pherson,1
Mitchell,1
Kremlin,1
Elijah Snow,1
The Drummer,1
Elias Hodge,1
Mitchell Hundred,1
Rick Levander,1
Flaxen,1
Tom Strong,1
Jackmorgan,1
Cutter,1
Joe Casey,1
Dustin Nguyen,1
Richard Friend,1
Solid Snake,1
Revolver Ocelot,1
Wetsuit,1
WildC.A.T.S,1
Grease,1
Maddie Fenton,1
Fei Long,1
Juri,1
Guile,1
Chun-Li,1
Cammy,1
Snowmaker,1
Gen X,1
Samus Aran,1
Ridley,1
Kraid,1
Meta Ridley,1
Latchkey Kid (Gen 13 member),1
Brides of Wolverine,1
Fastball,1
Mammary,1
Sarah Rainmaker,1
Copycat,1
Jetstream,1
Brunch,1
Psych,1
Lion-O,1
Panthro,1
Cheetara,1
WilyKit,1
WilyKat,1
Snarf,1
Mumm-Ra,1
Deming,1
Guster,1
Shannon,1
Battle Cat,1
children (unidentified),1
Abyss,1
Kalel,1
Martha Kent,1
Kal-El,1
Heartless,1
Dennis the Menace,1
Gnasher,1
Rubi,1
Pie Face,1
XS,1
Amidhala,1
Milestone Returns,1
Hardware,1
Gear,1
Overman,1
Mickey Mxyzptlk,1
Rocket Red,1
Cityboy,1
Thorgrim Doomhammer,1
White Gorilla,1
Avengers Prime,1
Kung Fu Master,1
Vibranium-Man,1
Jed Rikki,1
Cassie Lang,1
Young Avengers,1
Arachne,1
Kevin MacTaggert,1
Sam Guthrie,1
Korbak,1
Typhoid Mary,1
Baron Blood,1
The Rocketeer,1
Rocketeer,1
Betty,1
Bonita,1
Rick,1
Pad,1
Eva,1
Gib,1
Major Kira Nerys,1
Commander Benjamin Sisko,1
Gul Dukat,1
Chief Miles O'Brien,1
Kwame,1
Wheeler,1
Gi,1
Hoggish Greedly,1
Grummet,1
Lucius Levity,1
Casper Crumb,1
Maude Landers,1
Section Zero,1
Scorpio,1
Mad Sweat (Mr. Nancy),1
Laura Moon,1
Shadow,1
Mr. World,1
Ainsel,1
Dick Tracy,1
Tess Trueheart,1
Chief Brandon,1
Pat Patton,1
The Brow,1
Norm,1
Commander Krill,1
Telford,1
Janet Fraiser,1
Major Samantha Carter,1
Reborn,1
Bonny Doon,1
Cole Cash,1
Michael Cray,1
Excellency,1
Die #3,1
Saga,1
The Will,1
Ivar Timewalker,1
Micronauts,1
Cybernetics robot/spacecraft,1
Danny Nil,1
Corbin Quinn,1
Rori,1
Mauser,1
Danny,1
Sting,1
Immortal,1
Kelltor,1
King Tiger,1
Hype,1
Anita,1
Tori Tori,1
Mc Coy,1
Rocket Man,1
Astonishing X-Men character - this is Emma Frost,1
Stepford Cuckoos,1
Astonishing Men,1
Beast (blue form),1
Angel (Warren Worthington),1
Hellfire Club Sentinel,1
Xornada,1
Man-At-Arms,1
Beast Man,1
Orko,1
Stratos,1
Icarus,1
Rachel Summers,1
Silver Fox,1
Agent X,1
The Black Order,1
The Wrecking Crew,1
Abe Jenkins (MACH-IV),1
The Demiurge,1
Uncanny X-Men,1
The Uncanny Avengers,1
Dark Hawk,1
Beauileu,1
Avengers Arena,1
Surcharelli,1
Beaujeu,1
Dark Avengers,1
Ultraman Seven,1
The Marvels,1
El Pensador,1
Dryad,1
Cheyenne,1
The Man-Thing,1
The Fearless,1
Ren Tsukumo,1
Kyouko Hori,1
Dark Beast,1
Darkoth,1
Royale,1
King Ghidorah,1
Oshtur,1
Mosaic,1
Makari,1
Supreme,1
Ghost Panther,1
Ava Starlight,1
Fin,1
Fangtooth,1
USA Bloodstone,1
Broccoli Men,1
Ching Lin,1
Tabby Smith,1
Elihas Starker,1
Yo-Yo Rodriguez,1
Lincoln Campbell,1
Skrull King,1
Varnae,1
Vampire Nation characters,1
Ava Starros,1
Winter Guard,1
Super-Soldier,1
Invaders,1
The Skrulls,1
Madame Hydra,1
Scourge,1
Captain America (Bucky Barnes),1
Baroness,1
The Homelander,1
Apex Predator,1
Starlight,1
Dark Mettle,1
The Spectre,1
Naomi McDuffie,1
Namma,1
Mother Shark,1
Barry Allen,1
S.T.R.I.P.E.,1
La Verdadera,1
Red Cloud,1
The Secret Six,1
Gentleman Ghost,1
Gerads,1
Shaner,1
Rogol Zaar,1
Boy Thunder,1
Ro-Bear,1
New Avengers,1
Lady Justice,1
Red Sonja,1
Jotaro Kujo,1
Ulysses Klaw,1
Thunderstrike,1
Firerat,1
Selene,1
Bea,1
Kwannon,1
Glob Herman,1
Bling!,1
Martha Johannsen,1
Sentinel (Master Mold),1
Cassandra Nova,1
Iolande,1
Alan Scott,1
Heron,1
The Terrific Ten,1
Hungry Hippo,1
Dr. Mid-Nite,1
The Element Man,1
Cirque Du Sîn,1
Captain Hollow,1
GCPD Officers,1
Red Robot,1
The Human Bomb,1
Monster Society of Evil,1
Nether Light,1
DC Comics characters,1
Vampire Varnae,1
Caitlin Hex,1
Tig,1
Vanessa Van Helsing,1
Lady White,1
Brother Night,1
Boom Boom,1
Vengeance,1
Gaea,1
Frigga,1
The Enchantress,1
Mortal Terror (character from the series),1
Spider-Girl,1
Kaine,1
Ben Reilly,1
Clementary,1
Lizard,1
The Black Shield,1
Black Mercy,1
Black Beast,1
Fate,1
Black Flash,1
Dr. Fate,1
Gold Fury,1
Monster Boy,1
Marauders (the team),1
Madelyne Pryor,1
X-Men member,1
Curse of the Mutants,1
The First Mutant,1
Rahne Sinclair,1
Dust,1
Hellfire Kid,1
Elixir,1
Wakanda Forever,1
Manifold,1
Brother Voodoo,1
Demon Bear,1
Empath,1
Ayo,1
Tosin,1
Gorilla-Man,1
Prodigy,1
Dark Rider,1
Death (Black Horse),1
Gosh Darn,1
Shadowpact,1
Yeoman,1
Hydra agent,1
Quentin Quire,1
Oya,1
Steve Rogers Captain America,1
Sam Wilson as Captain America,1
Demolition Man,1
Sham,1
Brick,1
Lummox,1
Jeepers Creepers,1
King Krakoa,1
Avery Ho,1
Chester P. Runk,1
Gold,1
Khadgar,1
Foche,1
Gho,1
Mutant,1
Captain Krakoa,1
Goblin (Harry Osborn),1
Aunt May,1
Ghost-Spider,1
Kid Arachnid,1
MJ Watson,1
Kaine Parker,1
Silver Sable,1
The Eater,1
Senor Suerte,1
Big Wheel,1
Cyclone,1
Goldbug,1
Mauler,1
Kangaroo,1
Kraken,1
Spider-Man: India,1
Spider-Hame,1
Vorpal,1
Gunslinger,1
Bloodstrike,1
Vex,1
